Freq.	V(rc)
1.00000000000000e+00	2.92528319524021e-03,3.11421016335713e-02
1.00069338746258e+00	2.92930561079081e-03,3.11633162306544e-02
1.00138725571133e+00	2.93333350820634e-03,3.11845447581196e-02
1.00208160507963e+00	2.93736689484032e-03,3.12057872240338e-02
1.00277643590108e+00	2.94140577802466e-03,3.12270436364706e-02
1.00347174850950e+00	2.94545016511796e-03,3.12483140035024e-02
1.00416754323897e+00	2.94950006348363e-03,3.12695983332041e-02
1.00486382042379e+00	2.95355548048524e-03,3.12908966336525e-02
1.00556058039847e+00	2.95761642352278e-03,3.13122089129283e-02
1.00625782349778e+00	2.96168289997868e-03,3.13335351791154e-02
1.00695555005672e+00	2.96575491725760e-03,3.13548754402960e-02
1.00765376041051e+00	2.96983248276522e-03,3.13762297045604e-02
1.00835245489460e+00	2.97391560394276e-03,3.13975979799949e-02
1.00905163384468e+00	2.97800428819193e-03,3.14189802746941e-02
1.00975129759669e+00	2.98209854297741e-03,3.14403765967514e-02
1.01045144648677e+00	2.98619837572836e-03,3.14617869542642e-02
1.01115208085131e+00	2.99030379391010e-03,3.14832113553308e-02
1.01185320102693e+00	2.99441480501098e-03,3.15046498080523e-02
1.01255480735050e+00	2.99853141647451e-03,3.15261023205321e-02
1.01325690015909e+00	3.00265363582596e-03,3.15475689008766e-02
1.01395947979003e+00	3.00678147053202e-03,3.15690495571933e-02
1.01466254658088e+00	3.01091492811438e-03,3.15905442975951e-02
1.01536610086943e+00	3.01505401609449e-03,3.16120531301919e-02
1.01607014299370e+00	3.01919874198576e-03,3.16335760631016e-02
1.01677467329196e+00	3.02334911333297e-03,3.16551131044385e-02
1.01747969210269e+00	3.02750513768667e-03,3.16766642623255e-02
1.01818519976462e+00	3.03166682258356e-03,3.16982295448839e-02
1.01889119661673e+00	3.03583417561066e-03,3.17198089602362e-02
1.01959768299819e+00	3.04000720434205e-03,3.17414025165097e-02
1.02030465924846e+00	3.04418591634307e-03,3.17630102218341e-02
1.02101212570720e+00	3.04837031922499e-03,3.17846320843412e-02
1.02172008271430e+00	3.05256042058112e-03,3.18062681121641e-02
1.02242853060993e+00	3.05675622802783e-03,3.18279183134370e-02
1.02313746973444e+00	3.06095774920495e-03,3.18495826962980e-02
1.02384690042845e+00	3.06516499172548e-03,3.18712612688888e-02
1.02455682303281e+00	3.06937796324364e-03,3.18929540393509e-02
1.02526723788860e+00	3.07359667140512e-03,3.19146610158293e-02
1.02597814533714e+00	3.07782112388353e-03,3.19363822064718e-02
1.02668954572000e+00	3.08205132834315e-03,3.19581176194234e-02
1.02740143937897e+00	3.08628729246334e-03,3.19798672628387e-02
1.02811382665607e+00	3.09052902394657e-03,3.20016311448723e-02
1.02882670789358e+00	3.09477653049520e-03,3.20234092736763e-02
1.02954008343400e+00	3.09902981980843e-03,3.20452016574133e-02
1.03025395362008e+00	3.10328889962176e-03,3.20670083042405e-02
1.03096831879479e+00	3.10755377766210e-03,3.20888292223186e-02
1.03168317930136e+00	3.11182446167582e-03,3.21106644198150e-02
1.03239853548325e+00	3.11610095940955e-03,3.21325139048976e-02
1.03311438768414e+00	3.12038327862348e-03,3.21543776857309e-02
1.03383073624797e+00	3.12467142709762e-03,3.21762557704883e-02
1.03454758151891e+00	3.12896541260309e-03,3.21981481673443e-02
1.03526492384138e+00	3.13326524293412e-03,3.22200548844724e-02
1.03598276356002e+00	3.13757092589971e-03,3.22419759300507e-02
1.03670110101973e+00	3.14188246930466e-03,3.22639113122593e-02
1.03741993656562e+00	3.14619988097741e-03,3.22858610392802e-02
1.03813927054306e+00	3.15052316874191e-03,3.23078251192950e-02
1.03885910329767e+00	3.15485234043269e-03,3.23298035604936e-02
1.03957943517528e+00	3.15918740393482e-03,3.23517963710598e-02
1.04030026652199e+00	3.16352836706537e-03,3.23738035591887e-02
1.04102159768412e+00	3.16787523772020e-03,3.23958251330718e-02
1.04174342900823e+00	3.17222802378150e-03,3.24178611009010e-02
1.04246576084113e+00	3.17658673314176e-03,3.24399114708733e-02
1.04318859352986e+00	3.18095137370818e-03,3.24619762511898e-02
1.04391192742173e+00	3.18532195336478e-03,3.24840554500503e-02
1.04463576286424e+00	3.18969848006136e-03,3.25061490756567e-02
1.04536010020517e+00	3.19408096172100e-03,3.25282571362181e-02
