Freq.	V(rl)
1.00000000000000e+00	4.98507492284186e-01,-1.57268752206239e-02
1.00069338746258e+00	4.98505474383004e-01,-1.57375899409901e-02
1.00138725571133e+00	4.98503453731748e-01,-1.57483116996251e-02
1.00208160507963e+00	4.98501430326739e-01,-1.57590405008973e-02
1.00277643590108e+00	4.98499404164322e-01,-1.57697763486786e-02
1.00347174850950e+00	4.98497375240803e-01,-1.57805192471198e-02
1.00416754323897e+00	4.98495343552480e-01,-1.57912692002984e-02
1.00486382042379e+00	4.98493309095627e-01,-1.58020262121465e-02
1.00556058039847e+00	4.98491271866568e-01,-1.58127902870223e-02
1.00625782349778e+00	4.98489231861604e-01,-1.58235614288556e-02
1.00695555005672e+00	4.98487189076984e-01,-1.58343396417830e-02
1.00765376041051e+00	4.98485143509030e-01,-1.58451249298023e-02
1.00835245489460e+00	4.98483095153990e-01,-1.58559172973294e-02
1.00905163384468e+00	4.98481044008147e-01,-1.58667167480012e-02
1.00975129759669e+00	4.98478990067780e-01,-1.58775232863020e-02
1.01045144648677e+00	4.98476933329144e-01,-1.58883369160045e-02
1.01115208085131e+00	4.98474873788492e-01,-1.58991576413039e-02
1.01185320102693e+00	4.98472811442092e-01,-1.59099854666068e-02
1.01255480735050e+00	4.98470746286157e-01,-1.59208203954642e-02
1.01325690015909e+00	4.98468678316971e-01,-1.59316624325630e-02
1.01395947979003e+00	4.98466607530734e-01,-1.59425115815197e-02
1.01466254658088e+00	4.98464533923727e-01,-1.59533678466626e-02
1.01536610086943e+00	4.98462457492138e-01,-1.59642312321699e-02
1.01607014299370e+00	4.98460378232223e-01,-1.59751017419389e-02
1.01677467329196e+00	4.98458296140156e-01,-1.59859793802138e-02
1.01747969210269e+00	4.98456211212210e-01,-1.59968641511716e-02
1.01818519976462e+00	4.98454123444558e-01,-1.60077560586272e-02
1.01889119661673e+00	4.98452032833403e-01,-1.60186551070324e-02
1.01959768299819e+00	4.98449939374952e-01,-1.60295613004831e-02
1.02030465924846e+00	4.98447843065394e-01,-1.60404746427885e-02
1.02101212570720e+00	4.98445743900946e-01,-1.60513951383238e-02
1.02172008271430e+00	4.98443641877778e-01,-1.60623227910345e-02
1.02242853060993e+00	4.98441536992049e-01,-1.60732576050754e-02
1.02313746973444e+00	4.98439429239953e-01,-1.60841995848140e-02
1.02384690042845e+00	4.98437318617665e-01,-1.60951487340475e-02
1.02455682303281e+00	4.98435205121347e-01,-1.61061050570662e-02
1.02526723788860e+00	4.98433088747158e-01,-1.61170685578745e-02
1.02597814533714e+00	4.98430969491279e-01,-1.61280392407592e-02
1.02668954572000e+00	4.98428847349789e-01,-1.61390171097154e-02
1.02740143937897e+00	4.98426722318880e-01,-1.61500021688137e-02
1.02811382665607e+00	4.98424594394720e-01,-1.61609944223337e-02
1.02882670789358e+00	4.98422463573391e-01,-1.61719938744053e-02
1.02954008343400e+00	4.98420329851081e-01,-1.61830005289507e-02
1.03025395362008e+00	4.98418193223885e-01,-1.61940143903089e-02
1.03096831879479e+00	4.98416053687892e-01,-1.62050354625329e-02
1.03168317930136e+00	4.98413911239268e-01,-1.62160637498200e-02
1.03239853548325e+00	4.98411765874139e-01,-1.62270992562209e-02
1.03311438768414e+00	4.98409617588539e-01,-1.62381419858494e-02
1.03383073624797e+00	4.98407466378615e-01,-1.62491919429656e-02
1.03454758151891e+00	4.98405312240475e-01,-1.62602491315415e-02
1.03526492384138e+00	4.98403155170178e-01,-1.62713135557563e-02
1.03598276356002e+00	4.98400995163831e-01,-1.62823852198609e-02
1.03670110101973e+00	4.98398832217512e-01,-1.62934641278895e-02
1.03741993656562e+00	4.98396666327308e-01,-1.63045502840869e-02
1.03813927054306e+00	4.98394497489245e-01,-1.63156436924795e-02
1.03885910329767e+00	4.98392325699440e-01,-1.63267443570971e-02
1.03957943517528e+00	4.98390150953920e-01,-1.63378522825989e-02
1.04030026652199e+00	4.98387973248768e-01,-1.63489674724413e-02
1.04102159768412e+00	4.98385792580045e-01,-1.63600899311395e-02
