Freq.	V(n001)
1.00000000000000e+00	1.00000000000000e+00,0.00000000000000e+00
1.00069338746258e+00	1.00000000000000e+00,0.00000000000000e+00
1.00138725571133e+00	1.00000000000000e+00,0.00000000000000e+00
1.00208160507963e+00	1.00000000000000e+00,-3.46944695195361e-18
1.00277643590108e+00	1.00000000000000e+00,0.00000000000000e+00
1.00347174850950e+00	1.00000000000000e+00,3.46944695195361e-18
1.00416754323897e+00	1.00000000000000e+00,-3.46944695195361e-18
1.00486382042379e+00	1.00000000000000e+00,3.46944695195361e-18
1.00556058039847e+00	1.00000000000000e+00,0.00000000000000e+00
1.00625782349778e+00	1.00000000000000e+00,0.00000000000000e+00
1.00695555005672e+00	1.00000000000000e+00,0.00000000000000e+00
1.00765376041051e+00	1.00000000000000e+00,-3.46944695195361e-18
1.00835245489460e+00	1.00000000000000e+00,3.46944695195361e-18
1.00905163384468e+00	1.00000000000000e+00,-3.46944695195361e-18
1.00975129759669e+00	1.00000000000000e+00,0.00000000000000e+00
1.01045144648677e+00	1.00000000000000e+00,3.46944695195361e-18
1.01115208085131e+00	1.00000000000000e+00,-3.46944695195361e-18
1.01185320102693e+00	1.00000000000000e+00,0.00000000000000e+00
1.01255480735050e+00	1.00000000000000e+00,0.00000000000000e+00
1.01325690015909e+00	1.00000000000000e+00,3.46944695195361e-18
1.01395947979003e+00	1.00000000000000e+00,0.00000000000000e+00
1.01466254658088e+00	1.00000000000000e+00,3.46944695195361e-18
1.01536610086943e+00	1.00000000000000e+00,0.00000000000000e+00
1.01607014299370e+00	1.00000000000000e+00,3.46944695195361e-18
1.01677467329196e+00	1.00000000000000e+00,3.46944695195361e-18
1.01747969210269e+00	1.00000000000000e+00,-3.46944695195361e-18
1.01818519976462e+00	1.00000000000000e+00,0.00000000000000e+00
1.01889119661673e+00	1.00000000000000e+00,0.00000000000000e+00
1.01959768299819e+00	1.00000000000000e+00,0.00000000000000e+00
1.02030465924846e+00	1.00000000000000e+00,0.00000000000000e+00
