Freq.	V(vout)
1.00000000000000e+00	9.99994148345793e-01,-2.41901218795846e-03
1.00069338746258e+00	9.99994140228099e-01,-2.42068948103089e-03
1.00138725571133e+00	9.99994132099145e-01,-2.42236793707641e-03
1.00208160507963e+00	9.99994123958914e-01,-2.42404755690131e-03
1.00277643590108e+00	9.99994115807390e-01,-2.42572834131247e-03
1.00347174850950e+00	9.99994107644558e-01,-2.42741029111730e-03
1.00416754323897e+00	9.99994099470403e-01,-2.42909340712380e-03
1.00486382042379e+00	9.99994091284908e-01,-2.43077769014050e-03
1.00556058039847e+00	9.99994083088058e-01,-2.43246314097651e-03
1.00625782349778e+00	9.99994074879837e-01,-2.43414976044149e-03
1.00695555005672e+00	9.99994066660228e-01,-2.43583754934568e-03
1.00765376041051e+00	9.99994058429218e-01,-2.43752650849985e-03
1.00835245489460e+00	9.99994050186789e-01,-2.43921663871536e-03
1.00905163384468e+00	9.99994041932926e-01,-2.44090794080413e-03
1.00975129759669e+00	9.99994033667613e-01,-2.44260041557862e-03
1.01045144648677e+00	9.99994025390833e-01,-2.44429406385187e-03
1.01115208085131e+00	9.99994017102572e-01,-2.44598888643749e-03
1.01185320102693e+00	9.99994008802814e-01,-2.44768488414964e-03
1.01255480735050e+00	9.99994000491541e-01,-2.44938205780305e-03
1.01325690015909e+00	9.99993992168739e-01,-2.45108040821303e-03
1.01395947979003e+00	9.99993983834390e-01,-2.45277993619541e-03
1.01466254658088e+00	9.99993975488481e-01,-2.45448064256664e-03
1.01536610086943e+00	9.99993967130993e-01,-2.45618252814371e-03
1.01607014299370e+00	9.99993958761911e-01,-2.45788559374416e-03
1.01677467329196e+00	9.99993950381220e-01,-2.45958984018613e-03
1.01747969210269e+00	9.99993941988903e-01,-2.46129526828831e-03
1.01818519976462e+00	9.99993933584943e-01,-2.46300187886996e-03
1.01889119661673e+00	9.99993925169325e-01,-2.46470967275090e-03
1.01959768299819e+00	9.99993916742033e-01,-2.46641865075153e-03
1.02030465924846e+00	9.99993908303050e-01,-2.46812881369281e-03
1.02101212570720e+00	9.99993899852360e-01,-2.46984016239628e-03
1.02172008271430e+00	9.99993891389948e-01,-2.47155269768404e-03
1.02242853060993e+00	9.99993882915795e-01,-2.47326642037875e-03
1.02313746973444e+00	9.99993874429887e-01,-2.47498133130368e-03
1.02384690042845e+00	9.99993865932207e-01,-2.47669743128261e-03
1.02455682303281e+00	9.99993857422739e-01,-2.47841472113995e-03
1.02526723788860e+00	9.99993848901466e-01,-2.48013320170064e-03
1.02597814533714e+00	9.99993840368372e-01,-2.48185287379022e-03
1.02668954572000e+00	9.99993831823440e-01,-2.48357373823477e-03
1.02740143937897e+00	9.99993823266655e-01,-2.48529579586098e-03
1.02811382665607e+00	9.99993814697999e-01,-2.48701904749610e-03
1.02882670789358e+00	9.99993806117457e-01,-2.48874349396793e-03
1.02954008343400e+00	9.99993797525011e-01,-2.49046913610487e-03
1.03025395362008e+00	9.99993788920646e-01,-2.49219597473590e-03
1.03096831879479e+00	9.99993780304344e-01,-2.49392401069054e-03
1.03168317930136e+00	9.99993771676090e-01,-2.49565324479891e-03
1.03239853548325e+00	9.99993763035866e-01,-2.49738367789172e-03
1.03311438768414e+00	9.99993754383655e-01,-2.49911531080021e-03
1.03383073624797e+00	9.99993745719443e-01,-2.50084814435625e-03
1.03454758151891e+00	9.99993737043211e-01,-2.50258217939225e-03
1.03526492384138e+00	9.99993728354943e-01,-2.50431741674120e-03
1.03598276356002e+00	9.99993719654622e-01,-2.50605385723668e-03
1.03670110101973e+00	9.99993710942232e-01,-2.50779150171284e-03
1.03741993656562e+00	9.99993702217755e-01,-2.50953035100442e-03
1.03813927054306e+00	9.99993693481176e-01,-2.51127040594672e-03
1.03885910329767e+00	9.99993684732477e-01,-2.51301166737563e-03
1.03957943517528e+00	9.99993675971641e-01,-2.51475413612762e-03
1.04030026652199e+00	9.99993667198652e-01,-2.51649781303974e-03
