Freq.	V(vout)
2.00000000000000e+01	9.80151772621987e-01,-1.30381782581398e-01
2.01391110011344e+01	9.79913931604455e-01,-1.31256801440308e-01
2.02791895958006e+01	9.79672888277004e-01,-1.32137253021483e-01
2.04202425141439e+01	9.79428601160240e-01,-1.33023161929055e-01
2.05622765331213e+01	9.79181028282654e-01,-1.33914552680025e-01
2.07052984768276e+01	9.78930127176038e-01,-1.34811449698860e-01
2.08493152168224e+01	9.78675854870906e-01,-1.35713877311981e-01
2.09943336724614e+01	9.78418167891901e-01,-1.36621859742117e-01
2.11403608112276e+01	9.78157022253209e-01,-1.37535421102557e-01
2.12874036490672e+01	9.77892373453961e-01,-1.38454585391261e-01
2.14354692507259e+01	9.77624176473641e-01,-1.39379376484862e-01
2.15845647300886e+01	9.77352385767497e-01,-1.40309818132527e-01
2.17346972505212e+01	9.77076955261949e-01,-1.41245933949700e-01
2.18858740252148e+01	9.76797838350007e-01,-1.42187747411710e-01
2.20381023175322e+01	9.76514987886691e-01,-1.43135281847251e-01
2.21913894413569e+01	9.76228356184463e-01,-1.44088560431719e-01
2.23457427614444e+01	9.75937895008664e-01,-1.45047606180423e-01
2.25011696937762e+01	9.75643555572969e-01,-1.46012441941651e-01
2.26576777059160e+01	9.75345288534848e-01,-1.46983090389601e-01
2.28152743173685e+01	9.75043043991048e-01,-1.47959574017165e-01
2.29739670999407e+01	9.74736771473091e-01,-1.48941915128574e-01
2.31337636781058e+01	9.74426419942790e-01,-1.49930135831894e-01
2.32946717293691e+01	9.74111937787789e-01,-1.50924258031376e-01
2.34566989846376e+01	9.73793272817126e-01,-1.51924303419654e-01
2.36198532285906e+01	9.73470372256820e-01,-1.52930293469795e-01
2.37841423000545e+01	9.73143182745492e-01,-1.53942249427195e-01
2.39495740923786e+01	9.72811650330010e-01,-1.54960192301313e-01
2.41161565538152e+01	9.72475720461174e-01,-1.55984142857257e-01
2.42838976879010e+01	9.72135337989434e-01,-1.57014121607204e-01
2.44528055538414e+01	9.71790447160645e-01,-1.58050148801661e-01
2.46228882668984e+01	9.71440991611867e-01,-1.59092244420564e-01
2.47941539987798e+01	9.71086914367207e-01,-1.60140428164206e-01
2.49666109780323e+01	9.70728157833712e-01,-1.61194719444009e-01
2.51402674904366e+01	9.70364663797302e-01,-1.62255137373112e-01
2.53151318794057e+01	9.69996373418770e-01,-1.63321700756802e-01
2.54912125463853e+01	9.69623227229827e-01,-1.64394428082766e-01
2.56685179512581e+01	9.69245165129213e-01,-1.65473337511164e-01
2.58470566127499e+01	9.68862126378867e-01,-1.66558446864535e-01
2.60268371088387e+01	9.68474049600167e-01,-1.67649773617518e-01
2.62078680771673e+01	9.68080872770232e-01,-1.68747334886394e-01
2.63901582154580e+01	9.67682533218309e-01,-1.69851147418449e-01
2.65737162819303e+01	9.67278967622226e-01,-1.70961227581148e-01
2.67585510957223e+01	9.66870112004931e-01,-1.72077591351128e-01
2.69446715373139e+01	9.66455901731112e-01,-1.73200254303004e-01
2.71320865489535e+01	9.66036271503911e-01,-1.74329231597984e-01
2.73208051350880e+01	9.65611155361725e-01,-1.75464537972293e-01
2.75108363627950e+01	9.65180486675103e-01,-1.76606187725407e-01
2.77021893622186e+01	9.64744198143751e-01,-1.77754194708096e-01
2.78948733270082e+01	9.64302221793629e-01,-1.78908572310263e-01
2.80888975147600e+01	9.63854488974176e-01,-1.80069333448599e-01
2.82842712474620e+01	9.63400930355627e-01,-1.81236490554028e-01
2.84810039119415e+01	9.62941475926467e-01,-1.82410055558962e-01
2.86791049603166e+01	9.62476054991000e-01,-1.83590039884348e-01
2.88785839104500e+01	9.62004596167045e-01,-1.84776454426520e-01
2.90794503464063e+01	9.61527027383767e-01,-1.85969309543845e-01
2.92817139189126e+01	9.61043275879653e-01,-1.87168615043158e-01
2.94853843458221e+01	9.60553268200614e-01,-1.88374380166008e-01
2.96904714125811e+01	9.60056930198257e-01,-1.89586613574679e-01
2.98969849726989e+01	9.59554187028292e-01,-1.90805323338019e-01
3.01049349482215e+01	9.59044963149114e-01,-1.92030516917051e-01
3.03143313302081e+01	9.58529182320536e-01,-1.93262201150379e-01
3.05251841792113e+01	9.58006767602705e-01,-1.94500382239387e-01
3.07375036257604e+01	9.57477641355187e-01,-1.95745065733224e-01
3.09512998708479e+01	9.56941725236236e-01,-1.96996256513577e-01
