Freq.	V(vout)
2.00000000000000e+01	9.99958341246162e-01,-2.00001919928903e-03
2.01391110011344e+01	9.99958285405070e-01,-2.01393032047932e-03
2.02791895958006e+01	9.99958228784473e-01,-2.02793819880629e-03
2.04202425141439e+01	9.99958171373489e-01,-2.04204350721939e-03
2.05622765331213e+01	9.99958113161083e-01,-2.05624692334776e-03
2.07052984768276e+01	9.99958054136070e-01,-2.07054912953276e-03
2.08493152168224e+01	9.99957994287105e-01,-2.08495081286073e-03
2.09943336724614e+01	9.99957933602687e-01,-2.09945266519596e-03
2.11403608112276e+01	9.99957872071153e-01,-2.11405538321389e-03
2.12874036490672e+01	9.99957809680680e-01,-2.12875966843458e-03
2.14354692507259e+01	9.99957746419275e-01,-2.14356622725637e-03
2.15845647300886e+01	9.99957682274783e-01,-2.15847577098975e-03
2.17346972505212e+01	9.99957617234875e-01,-2.17348901589156e-03
2.18858740252148e+01	9.99957551287052e-01,-2.18860668319935e-03
2.20381023175322e+01	9.99957484418642e-01,-2.20382949916597e-03
2.21913894413569e+01	9.99957416616791e-01,-2.21915819509446e-03
2.23457427614444e+01	9.99957347868472e-01,-2.23459350737312e-03
2.25011696937762e+01	9.99957278160472e-01,-2.25013617751087e-03
2.26576777059160e+01	9.99957207479394e-01,-2.26578695217287e-03
2.28152743173685e+01	9.99957135811656e-01,-2.28154658321627e-03
2.29739670999407e+01	9.99957063143483e-01,-2.29741582772639e-03
2.31337636781058e+01	9.99956989460911e-01,-2.31339544805298e-03
2.32946717293691e+01	9.99956914749781e-01,-2.32948621184685e-03
2.34566989846376e+01	9.99956838995733e-01,-2.34568889209669e-03
2.36198532285906e+01	9.99956762184209e-01,-2.36200426716617e-03
2.37841423000545e+01	9.99956684300449e-01,-2.37843312083129e-03
2.39495740923786e+01	9.99956605329484e-01,-2.39497624231799e-03
2.41161565538152e+01	9.99956525256139e-01,-2.41163442634006e-03
2.42838976879010e+01	9.99956444065024e-01,-2.42840847313719e-03
2.44528055538414e+01	9.99956361740537e-01,-2.44529918851347e-03
2.46228882668984e+01	9.99956278266857e-01,-2.46230738387599e-03
2.47941539987798e+01	9.99956193627942e-01,-2.47943387627378e-03
2.49666109780323e+01	9.99956107807526e-01,-2.49667948843705e-03
2.51402674904366e+01	9.99956020789117e-01,-2.51404504881663e-03
2.53151318794057e+01	9.99955932555992e-01,-2.53153139162375e-03
