time	V(vout)
0.000000000000000e+00	0.000000e+00
9.142857249701465e-07	2.389239e-05
1.828571449940293e-06	8.477096e-05
2.742857174910440e-06	1.826357e-04
3.657142899880586e-06	3.174866e-04
4.571428624850732e-06	4.893237e-04
5.485714349820879e-06	6.981470e-04
6.400000074791024e-06	9.439565e-04
1.128281257479102e-05	2.668523e-03
1.616562507479103e-05	5.188866e-03
2.104843757479103e-05	8.554758e-03
2.593125007479103e-05	1.273733e-02
3.081406257479102e-05	1.770771e-02
3.569687507479102e-05	2.343706e-02
4.057968757479102e-05	2.989653e-02
4.546250007479102e-05	3.705730e-02
5.034531257479102e-05	4.489058e-02
5.522812507479101e-05	5.336759e-02
6.011093757479101e-05	6.245959e-02
6.499375007479101e-05	7.213788e-02
6.987656257479101e-05	8.237379e-02
7.475937507479102e-05	9.313870e-02
8.452500007479103e-05	1.161412e-01
8.940781257479103e-05	1.283218e-01
9.429062507479103e-05	1.409172e-01
9.917343757479104e-05	1.538990e-01
1.040562500747910e-04	1.672387e-01
1.089390625747910e-04	1.809075e-01
1.138218750747911e-04	1.948767e-01
1.187046875747911e-04	2.091172e-01
1.235875000747910e-04	2.235993e-01
1.284703125747911e-04	2.382928e-01
1.333531250747911e-04	2.531660e-01
1.382359375747911e-04	2.681859e-01
1.431187500747911e-04	2.833169e-01
1.480015625747911e-04	2.985203e-01
1.528843750747911e-04	3.137522e-01
1.577671875747911e-04	3.289627e-01
1.626500000747911e-04	3.440925e-01
1.675328125747911e-04	3.590711e-01
1.724156250747911e-04	3.738129e-01
1.772984375747911e-04	3.882146e-01
1.821812500747911e-04	4.021530e-01
1.870640625747911e-04	4.154853e-01
1.919468750747911e-04	4.280531e-01
1.968296875747911e-04	4.396927e-01
2.017125000747911e-04	4.502512e-01
2.065953125747911e-04	4.596067e-01
2.163609375747911e-04	4.744871e-01
2.212437500747911e-04	4.800608e-01
2.261265625747911e-04	4.845195e-01
2.310093750747911e-04	4.880078e-01
2.358921875747911e-04	4.906834e-01
2.407750000747912e-04	4.926985e-01
2.456578125747911e-04	4.941882e-01
2.505406250747911e-04	4.952654e-01
2.554234375747911e-04	4.960194e-01
2.603062500747911e-04	4.965189e-01
2.651890625747911e-04	4.968147e-01
2.700718750747911e-04	4.969442e-01
2.749546875747912e-04	4.969338e-01
2.798375000747912e-04	4.968024e-01
2.847203125747912e-04	4.965630e-01
2.896031250747912e-04	4.962243e-01
2.993687500747912e-04	4.952697e-01
3.140171875747912e-04	4.931759e-01
3.286656250747912e-04	4.902803e-01
3.384312500747912e-04	4.878782e-01
3.481968750747912e-04	4.850685e-01
3.579625000747912e-04	4.818169e-01
3.677281250747912e-04	4.780806e-01
3.774937500747912e-04	4.738079e-01
3.872593750747913e-04	4.689362e-01
3.970250000747913e-04	4.633908e-01
4.067906250747913e-04	4.570837e-01
4.165562500747913e-04	4.499114e-01
4.214390625747913e-04	4.459643e-01
4.263218750747913e-04	4.417549e-01
4.360875000747913e-04	4.324794e-01
4.409703125747913e-04	4.273761e-01
4.458531250747913e-04	4.219364e-01
4.507359375747913e-04	4.161402e-01
4.556187500747913e-04	4.099674e-01
4.605015625747913e-04	4.033978e-01
4.653843750747913e-04	3.964117e-01
4.702671875747913e-04	3.889900e-01
4.751500000747913e-04	3.811150e-01
4.800328125747913e-04	3.727704e-01
4.849156250747913e-04	3.639419e-01
4.897984375747913e-04	3.546173e-01
4.946812500747913e-04	3.447872e-01
4.995640625747914e-04	3.344447e-01
5.044468750747914e-04	3.235859e-01
5.093296875747914e-04	3.122099e-01
5.142125000747914e-04	3.003186e-01
5.190953125747914e-04	2.879169e-01
5.239781250747914e-04	2.750122e-01
5.288609375747914e-04	2.616145e-01
5.337437500747914e-04	2.477358e-01
5.386265625747914e-04	2.333902e-01
5.435093750747914e-04	2.185934e-01
5.483921875747914e-04	2.033625e-01
5.532750000747914e-04	1.877159e-01
5.581578125747914e-04	1.716728e-01
5.630406250747914e-04	1.552533e-01
5.679234375747914e-04	1.384781e-01
5.728062500747914e-04	1.213685e-01
5.776890625747914e-04	1.039460e-01
5.825718750747914e-04	8.623271e-02
5.923375000747914e-04	5.002230e-02
5.972203125747914e-04	3.157009e-02
6.021031250747914e-04	1.291668e-02
6.069859375747914e-04	-5.915246e-03
6.167515625747915e-04	-4.402363e-02
6.265171875747915e-04	-8.257271e-02
6.314000000747915e-04	-1.019554e-01
6.362828125747915e-04	-1.213796e-01
6.411656250747915e-04	-1.408224e-01
6.460484375747915e-04	-1.602604e-01
6.509312500747915e-04	-1.796700e-01
6.558140625747915e-04	-1.990272e-01
6.606968750747915e-04	-2.183069e-01
6.655796875747915e-04	-2.374825e-01
6.704625000747915e-04	-2.565255e-01
6.753453125747915e-04	-2.754039e-01
6.802281250747915e-04	-2.940809e-01
6.851109375747915e-04	-3.125127e-01
6.899937500747915e-04	-3.306457e-01
6.948765625747915e-04	-3.484123e-01
6.997593750747915e-04	-3.657269e-01
7.046421875747915e-04	-3.824812e-01
7.095250000747915e-04	-3.985403e-01
7.144078125747915e-04	-4.137424e-01
7.192906250747915e-04	-4.279041e-01
7.241734375747916e-04	-4.408347e-01
7.290562500747916e-04	-4.523595e-01
7.388218750747916e-04	-4.707484e-01
7.437046875747916e-04	-4.775862e-01
7.485875000747916e-04	-4.829758e-01
7.534703125747916e-04	-4.870908e-01
7.583531250747916e-04	-4.901350e-01
7.632359375747916e-04	-4.923135e-01
7.681187500747916e-04	-4.938118e-01
7.730015625747916e-04	-4.947853e-01
7.778843750747916e-04	-4.953564e-01
7.827671875747916e-04	-4.956177e-01
7.876500000747916e-04	-4.956374e-01
7.925328125747916e-04	-4.954640e-01
7.974156250747916e-04	-4.951313e-01
8.022984375747916e-04	-4.946629e-01
8.071812500747916e-04	-4.940742e-01
8.120640625747916e-04	-4.933755e-01
8.267125000747916e-04	-4.906685e-01
8.413609375747917e-04	-4.870616e-01
8.511265625747917e-04	-4.841313e-01
8.608921875747917e-04	-4.807434e-01
8.706578125747917e-04	-4.768544e-01
8.804234375747917e-04	-4.724103e-01
8.901890625747917e-04	-4.673457e-01
8.999546875747917e-04	-4.615822e-01
9.097203125747917e-04	-4.550273e-01
9.194859375747917e-04	-4.475732e-01
9.243687500747917e-04	-4.434708e-01
9.292515625747917e-04	-4.390959e-01
9.390171875747917e-04	-4.294564e-01
9.439000000747917e-04	-4.241536e-01
9.487828125747918e-04	-4.185025e-01
9.536656250747918e-04	-4.124828e-01
9.585484375747918e-04	-4.060744e-01
9.634312500747918e-04	-3.992572e-01
9.683140625747918e-04	-3.920119e-01
