Freq.	V(vout)
1.00000000000000e-02	9.99976461183980e-01,-6.25076984369371e-07
1.00695555005672e-02	9.99976461183974e-01,-6.29424738623451e-07
1.01395947979003e-02	9.99976461183969e-01,-6.33802733899881e-07
1.02101212570719e-02	9.99976461183963e-01,-6.38211180541603e-07
1.02811382665607e-02	9.99976461183958e-01,-6.42650290354614e-07
1.03526492384138e-02	9.99976461183952e-01,-6.47120276618137e-07
1.04246576084112e-02	9.99976461183946e-01,-6.51621354094868e-07
1.04971668362307e-02	9.99976461183940e-01,-6.56153739041298e-07
1.05701804056138e-02	9.99976461183934e-01,-6.60717649218099e-07
1.06437018245336e-02	9.99976461183928e-01,-6.65313303900589e-07
1.07177346253629e-02	9.99976461183922e-01,-6.69940923889266e-07
1.07922823650443e-02	9.99976461183915e-01,-6.74600731520418e-07
1.08673486252606e-02	9.99976461183909e-01,-6.79292950676804e-07
1.09429370126074e-02	9.99976461183903e-01,-6.84017806798408e-07
1.10190511587661e-02	9.99976461183896e-01,-6.88775526893277e-07
1.10956947206785e-02	9.99976461183889e-01,-6.93566339548421e-07
1.11728713807222e-02	9.99976461183883e-01,-6.98390474940801e-07
1.12505848468881e-02	9.99976461183876e-01,-7.03248164848383e-07
1.13288388529580e-02	9.99976461183869e-01,-7.08139642661276e-07
1.14076371586843e-02	9.99976461183862e-01,-7.13065143392949e-07
1.14869835499704e-02	9.99976461183855e-01,-7.18024903691515e-07
1.15668818390529e-02	9.99976461183848e-01,-7.23019161851107e-07
1.16473358646846e-02	9.99976461183840e-01,-7.28048157823324e-07
1.17283494923188e-02	9.99976461183833e-01,-7.33112133228760e-07
1.18099266142953e-02	9.99976461183826e-01,-7.38211331368616e-07
1.18920711500272e-02	9.99976461183818e-01,-7.43345997236381e-07
1.19747870461893e-02	9.99976461183810e-01,-7.48516377529615e-07
1.20580782769076e-02	9.99976461183802e-01,-7.53722720661790e-07
1.21419488439505e-02	9.99976461183795e-01,-7.58965276774234e-07
1.22264027769207e-02	9.99976461183787e-01,-7.64244297748142e-07
1.23114441334492e-02	9.99976461183778e-01,-7.69560037216685e-07
1.23970769993899e-02	9.99976461183770e-01,-7.74912750577190e-07
1.24833054890162e-02	9.99976461183762e-01,-7.80302695003413e-07
1.25701337452183e-02	9.99976461183753e-01,-7.85730129457895e-07
1.26575659397028e-02	9.99976461183745e-01,-7.91195314704404e-07
1.27456062731927e-02	9.99976461183736e-01,-7.96698513320465e-07
1.28342589756291e-02	9.99976461183727e-01,-8.02239989709972e-07
1.29235283063750e-02	9.99976461183718e-01,-8.07820010115895e-07
1.30134185544194e-02	9.99976461183709e-01,-8.13438842633067e-07
1.31039340385837e-02	9.99976461183700e-01,-8.19096757221074e-07
1.31950791077290e-02	9.99976461183690e-01,-8.24794025717213e-07
1.32868581409652e-02	9.99976461183681e-01,-8.30530921849564e-07
1.33792755478612e-02	9.99976461183671e-01,-8.36307721250134e-07
1.34723357686569e-02	9.99976461183661e-01,-8.42124701468101e-07
1.35660432744768e-02	9.99976461183652e-01,-8.47982141983154e-07
1.36604025675440e-02	9.99976461183642e-01,-8.53880324218913e-07
1.37554181813975e-02	9.99976461183631e-01,-8.59819531556456e-07
1.38510946811093e-02	9.99976461183621e-01,-8.65800049347933e-07
1.39474366635041e-02	9.99976461183610e-01,-8.71822164930273e-07
1.40444487573800e-02	9.99976461183600e-01,-8.77886167638993e-07
1.41421356237310e-02	9.99976461183589e-01,-8.83992348822097e-07
1.42405019559708e-02	9.99976461183578e-01,-8.90141001854076e-07
1.43395524801583e-02	9.99976461183567e-01,-8.96332422150000e-07
1.44392919552250e-02	9.99976461183556e-01,-9.02566907179715e-07
1.45397251732032e-02	9.99976461183545e-01,-9.08844756482131e-07
1.46408569594563e-02	9.99976461183533e-01,-9.15166271679618e-07
1.47426921729111e-02	9.99976461183521e-01,-9.21531756492496e-07
1.48452357062906e-02	9.99976461183510e-01,-9.27941516753624e-07
1.49484924863495e-02	9.99976461183497e-01,-9.34395860423100e-07
1.50524674741107e-02	9.99976461183485e-01,-9.40895097603053e-07
1.51571656651041e-02	9.99976461183473e-01,-9.47439540552540e-07
1.52625920896057e-02	9.99976461183460e-01,-9.54029503702556e-07
1.53687518128802e-02	9.99976461183448e-01,-9.60665303671134e-07
1.54756499354240e-02	9.99976461183435e-01,-9.67347259278559e-07
1.55832915932101e-02	9.99976461183422e-01,-9.74075691562688e-07
1.56916819579351e-02	9.99976461183409e-01,-9.80850923794373e-07
1.58008262372676e-02	9.99976461183395e-01,-9.87673281492990e-07
1.59107296750985e-02	9.99976461183381e-01,-9.94543092442085e-07
1.60213975517925e-02	9.99976461183368e-01,-1.00146068670512e-06
1.61328351844426e-02	9.99976461183354e-01,-1.00842639664132e-06
1.62450479271248e-02	9.99976461183339e-01,-1.01544055692166e-06
1.63580411711557e-02	9.99976461183325e-01,-1.02250350454493e-06
1.64718203453516e-02	9.99976461183311e-01,-1.02961557885395e-06
1.65863909162889e-02	9.99976461183296e-01,-1.03677712155183e-06
1.67017583885675e-02	9.99976461183281e-01,-1.04398847671843e-06
1.68179283050744e-02	9.99976461183265e-01,-1.05124999082687e-06
1.69349062472506e-02	9.99976461183250e-01,-1.05856201276017e-06
1.70526978353592e-02	9.99976461183234e-01,-1.06592489382805e-06
1.71713087287552e-02	9.99976461183219e-01,-1.07333898778376e-06
1.72907446261574e-02	9.99976461183202e-01,-1.08080465084110e-06
1.74110112659226e-02	9.99976461183186e-01,-1.08832224169154e-06
1.75321144263208e-02	9.99976461183170e-01,-1.09589212152145e-06
1.76540599258132e-02	9.99976461183153e-01,-1.10351465402943e-06
1.77768536233315e-02	9.99976461183136e-01,-1.11119020544384e-06
1.79005014185596e-02	9.99976461183118e-01,-1.11891914454032e-06
1.80250092522167e-02	9.99976461183101e-01,-1.12670184265957e-06
1.81503831063433e-02	9.99976461183083e-01,-1.13453867372517e-06
1.82766290045881e-02	9.99976461183065e-01,-1.14243001426153e-06
1.84037530124976e-02	9.99976461183047e-01,-1.15037624341200e-06
1.85317612378075e-02	9.99976461183029e-01,-1.15837774295709e-06
1.86606598307363e-02	9.99976461183010e-01,-1.16643489733280e-06
1.87904549842804e-02	9.99976461182991e-01,-1.17454809364908e-06
1.89211529345121e-02	9.99976461182972e-01,-1.18271772170845e-06
1.90527599608789e-02	9.99976461182952e-01,-1.19094417402474e-06
1.91852823865054e-02	9.99976461182932e-01,-1.19922784584191e-06
1.93187265784971e-02	9.99976461182912e-01,-1.20756913515305e-06
1.94530989482459e-02	9.99976461182892e-01,-1.21596844271953e-06
1.95884059517387e-02	9.99976461182871e-01,-1.22442617209023e-06
1.97246540898673e-02	9.99976461182850e-01,-1.23294272962093e-06
1.98618499087409e-02	9.99976461182829e-01,-1.24151852449385e-06
2.00000000000002e-02	9.99976461182808e-01,-1.25015396873729e-06
2.01391110011345e-02	9.99976461182786e-01,-1.25884947724542e-06
2.02791895958007e-02	9.99976461182764e-01,-1.26760546779824e-06
2.04202425141440e-02	9.99976461182741e-01,-1.27642236108166e-06
2.05622765331215e-02	9.99976461182719e-01,-1.28530058070764e-06
2.07052984768277e-02	9.99976461182695e-01,-1.29424055323466e-06
2.08493152168226e-02	9.99976461182672e-01,-1.30324270818809e-06
2.09943336724615e-02	9.99976461182648e-01,-1.31230747808091e-06
2.11403608112278e-02	9.99976461182624e-01,-1.32143529843448e-06
2.12874036490674e-02	9.99976461182600e-01,-1.33062660779942e-06
2.14354692507260e-02	9.99976461182575e-01,-1.33988184777674e-06
2.15845647300887e-02	9.99976461182550e-01,-1.34920146303901e-06
2.17346972505213e-02	9.99976461182525e-01,-1.35858590135174e-06
2.18858740252150e-02	9.99976461182499e-01,-1.36803561359491e-06
2.20381023175324e-02	9.99976461182473e-01,-1.37755105378460e-06
2.21913894413571e-02	9.99976461182447e-01,-1.38713267909485e-06
2.23457427614446e-02	9.99976461182420e-01,-1.39678094987957e-06
2.25011696937764e-02	9.99976461182392e-01,-1.40649632969469e-06
2.26576777059162e-02	9.99976461182365e-01,-1.41627928532043e-06
2.28152743173687e-02	9.99976461182337e-01,-1.42613028678373e-06
2.29739670999409e-02	9.99976461182308e-01,-1.43604980738082e-06
2.31337636781060e-02	9.99976461182279e-01,-1.44603832369996e-06
2.32946717293693e-02	9.99976461182250e-01,-1.45609631564434e-06
2.34566989846378e-02	9.99976461182221e-01,-1.46622426645517e-06
2.36198532285908e-02	9.99976461182191e-01,-1.47642266273483e-06
2.37841423000546e-02	9.99976461182160e-01,-1.48669199447031e-06
2.39495740923788e-02	9.99976461182130e-01,-1.49703275505672e-06
2.41161565538154e-02	9.99976461182098e-01,-1.50744544132102e-06
2.42838976879012e-02	9.99976461182066e-01,-1.51793055354585e-06
2.44528055538416e-02	9.99976461182034e-01,-1.52848859549362e-06
2.46228882668986e-02	9.99976461182002e-01,-1.53912007443065e-06
2.47941539987800e-02	9.99976461181969e-01,-1.54982550115160e-06
2.49666109780325e-02	9.99976461181935e-01,-1.56060539000399e-06
2.51402674904368e-02	9.99976461181901e-01,-1.57146025891289e-06
2.53151318794058e-02	9.99976461181867e-01,-1.58239062940585e-06
2.54912125463855e-02	9.99976461181832e-01,-1.59339702663791e-06
2.56685179512583e-02	9.99976461181796e-01,-1.60447997941686e-06
2.58470566127501e-02	9.99976461181760e-01,-1.61564002022864e-06
2.60268371088389e-02	9.99976461181724e-01,-1.62687768526292e-06
2.62078680771675e-02	9.99976461181687e-01,-1.63819351443886e-06
2.63901582154582e-02	9.99976461181650e-01,-1.64958805143107e-06
2.65737162819305e-02	9.99976461181611e-01,-1.66106184369570e-06
2.67585510957225e-02	9.99976461181573e-01,-1.67261544249677e-06
2.69446715373141e-02	9.99976461181534e-01,-1.68424940293263e-06
2.71320865489537e-02	9.99976461181494e-01,-1.69596428396266e-06
2.73208051350882e-02	9.99976461181454e-01,-1.70776064843410e-06
2.75108363627952e-02	9.99976461181413e-01,-1.71963906310911e-06
2.77021893622188e-02	9.99976461181372e-01,-1.73160009869198e-06
2.78948733270084e-02	9.99976461181330e-01,-1.74364432985658e-06
2.80888975147602e-02	9.99976461181288e-01,-1.75577233527394e-06
2.82842712474622e-02	9.99976461181245e-01,-1.76798469764006e-06
2.84810039119417e-02	9.99976461181201e-01,-1.78028200370393e-06
2.86791049603169e-02	9.99976461181157e-01,-1.79266484429569e-06
2.88785839104502e-02	9.99976461181112e-01,-1.80513381435503e-06
2.90794503464065e-02	9.99976461181067e-01,-1.81768951295977e-06
2.92817139189128e-02	9.99976461181020e-01,-1.83033254335465e-06
2.94853843458224e-02	9.99976461180974e-01,-1.84306351298031e-06
2.96904714125813e-02	9.99976461180926e-01,-1.85588303350247e-06
2.98969849726991e-02	9.99976461180878e-01,-1.86879172084132e-06
3.01049349482217e-02	9.99976461180829e-01,-1.88179019520112e-06
3.03143313302083e-02	9.99976461180780e-01,-1.89487908109999e-06
3.05251841792115e-02	9.99976461180730e-01,-1.90805900739992e-06
3.07375036257606e-02	9.99976461180679e-01,-1.92133060733696e-06
3.09512998708482e-02	9.99976461180627e-01,-1.93469451855170e-06
3.11665831864204e-02	9.99976461180575e-01,-1.94815138311984e-06
