Freq.	V(vout)
1.00000000000000e-02	9.99952923475325e-01,-1.25009511652775e-06
1.00695555005672e-02	9.99952923475304e-01,-1.25879021568639e-06
1.01395947979003e-02	9.99952923475281e-01,-1.26754579404248e-06
1.02101212570719e-02	9.99952923475259e-01,-1.27636227226209e-06
1.02811382665607e-02	9.99952923475236e-01,-1.28524007393729e-06
1.03526492384138e-02	9.99952923475213e-01,-1.29417962560643e-06
1.04246576084112e-02	9.99952923475190e-01,-1.30318135677469e-06
1.04971668362307e-02	9.99952923475166e-01,-1.31224569993469e-06
1.05701804056138e-02	9.99952923475142e-01,-1.32137309058727e-06
1.06437018245336e-02	9.99952923475118e-01,-1.33056396726242e-06
1.07177346253629e-02	9.99952923475093e-01,-1.33981877154034e-06
1.07922823650443e-02	9.99952923475068e-01,-1.34913794807269e-06
1.08673486252606e-02	9.99952923475042e-01,-1.35852194460390e-06
1.09429370126074e-02	9.99952923475017e-01,-1.36797121199270e-06
1.10190511587661e-02	9.99952923474991e-01,-1.37748620423383e-06
1.10956947206785e-02	9.99952923474964e-01,-1.38706737847978e-06
1.11728713807222e-02	9.99952923474937e-01,-1.39671519506280e-06
1.12505848468881e-02	9.99952923474910e-01,-1.40643011751701e-06
1.13288388529580e-02	9.99952923474882e-01,-1.41621261260063e-06
1.14076371586843e-02	9.99952923474854e-01,-1.42606315031849e-06
1.14869835499704e-02	9.99952923474826e-01,-1.43598220394454e-06
1.15668818390529e-02	9.99952923474797e-01,-1.44597025004459e-06
1.16473358646846e-02	9.99952923474768e-01,-1.45602776849926e-06
1.17283494923188e-02	9.99952923474738e-01,-1.46615524252698e-06
1.18099266142953e-02	9.99952923474708e-01,-1.47635315870726e-06
1.18920711500272e-02	9.99952923474678e-01,-1.48662200700399e-06
1.19747870461893e-02	9.99952923474647e-01,-1.49696228078908e-06
1.20580782769076e-02	9.99952923474616e-01,-1.50737447686608e-06
1.21419488439505e-02	9.99952923474584e-01,-1.51785909549410e-06
1.22264027769207e-02	9.99952923474552e-01,-1.52841664041181e-06
1.23114441334492e-02	9.99952923474519e-01,-1.53904761886166e-06
1.23970769993899e-02	9.99952923474486e-01,-1.54975254161428e-06
1.24833054890162e-02	9.99952923474453e-01,-1.56053192299295e-06
1.25701337452183e-02	9.99952923474419e-01,-1.57138628089838e-06
1.26575659397028e-02	9.99952923474384e-01,-1.58231613683356e-06
1.27456062731927e-02	9.99952923474349e-01,-1.59332201592880e-06
1.28342589756291e-02	9.99952923474314e-01,-1.60440444696701e-06
1.29235283063750e-02	9.99952923474278e-01,-1.61556396240905e-06
1.30134185544194e-02	9.99952923474241e-01,-1.62680109841936e-06
1.31039340385837e-02	9.99952923474205e-01,-1.63811639489168e-06
1.31950791077290e-02	9.99952923474167e-01,-1.64951039547502e-06
