Freq.	V(vout)
2.00000000000000e+01	9.99021461424405e-01,-3.12818900595725e-02
2.01391110011344e+01	9.99007815074546e-01,-3.14990429672896e-02
2.02791895958006e+01	9.98993978609009e-01,-3.17176972730418e-02
2.04202425141439e+01	9.98979949384554e-01,-3.19378632307761e-02
2.05622765331213e+01	9.98965724721339e-01,-3.21595511618030e-02
2.07052984768276e+01	9.98951301902424e-01,-3.23827714551820e-02
2.08493152168224e+01	9.98936678173256e-01,-3.26075345681091e-02
2.09943336724614e+01	9.98921850741156e-01,-3.28338510263040e-02
2.11403608112276e+01	9.98906816774794e-01,-3.30617314243990e-02
2.12874036490672e+01	9.98891573403662e-01,-3.32911864263287e-02
2.14354692507259e+01	9.98876117717533e-01,-3.35222267657204e-02
2.15845647300886e+01	9.98860446765919e-01,-3.37548632462853e-02
2.17346972505212e+01	9.98844557557516e-01,-3.39891067422103e-02
2.18858740252148e+01	9.98828447059650e-01,-3.42249681985514e-02
2.20381023175322e+01	9.98812112197706e-01,-3.44624586316263e-02
2.21913894413569e+01	9.98795549854553e-01,-3.47015891294095e-02
2.23457427614444e+01	9.98778756869965e-01,-3.49423708519263e-02
2.25011696937762e+01	9.98761730040031e-01,-3.51848150316486e-02
2.26576777059160e+01	9.98744466116553e-01,-3.54289329738906e-02
2.28152743173685e+01	9.98726961806445e-01,-3.56747360572056e-02
2.29739670999407e+01	9.98709213771116e-01,-3.59222357337826e-02
2.31337636781058e+01	9.98691218625850e-01,-3.61714435298437e-02
2.32946717293691e+01	9.98672972939173e-01,-3.64223710460418e-02
2.34566989846376e+01	9.98654473232217e-01,-3.66750299578591e-02
2.36198532285906e+01	9.98635715978068e-01,-3.69294320160048e-02
2.37841423000545e+01	9.98616697601117e-01,-3.71855890468141e-02
2.39495740923786e+01	9.98597414476388e-01,-3.74435129526470e-02
2.41161565538152e+01	9.98577862928868e-01,-3.77032157122869e-02
2.42838976879010e+01	9.98558039232824e-01,-3.79647093813402e-02
2.44528055538414e+01	9.98537939611112e-01,-3.82280060926347e-02
2.46228882668984e+01	9.98517560234472e-01,-3.84931180566191e-02
2.47941539987798e+01	9.98496897220824e-01,-3.87600575617616e-02
2.49666109780323e+01	9.98475946634541e-01,-3.90288369749491e-02
2.51402674904366e+01	9.98454704485726e-01,-3.92994687418852e-02
2.53151318794057e+01	9.98433166729471e-01,-3.95719653874892e-02
2.54912125463853e+01	9.98411329265107e-01,-3.98463395162936e-02
2.56685179512581e+01	9.98389187935445e-01,-4.01226038128420e-02
2.58470566127499e+01	9.98366738526011e-01,-4.04007710420860e-02
2.60268371088387e+01	9.98343976764261e-01,-4.06808540497820e-02
2.62078680771673e+01	9.98320898318800e-01,-4.09628657628872e-02
2.63901582154580e+01	9.98297498798572e-01,-4.12468191899549e-02
2.65737162819303e+01	9.98273773752062e-01,-4.15327274215291e-02
2.67585510957223e+01	9.98249718666464e-01,-4.18206036305381e-02
2.69446715373139e+01	9.98225328966855e-01,-4.21104610726876e-02
2.71320865489535e+01	9.98200600015353e-01,-4.24023130868525e-02
2.73208051350880e+01	9.98175527110261e-01,-4.26961730954678e-02
2.75108363627950e+01	9.98150105485204e-01,-4.29920546049180e-02
2.77021893622186e+01	9.98124330308249e-01,-4.32899712059255e-02
2.78948733270082e+01	9.98098196681025e-01,-4.35899365739383e-02
2.80888975147600e+01	9.98071699637813e-01,-4.38919644695147e-02
2.82842712474620e+01	9.98044834144645e-01,-4.41960687387085e-02
2.84810039119415e+01	9.98017595098375e-01,-4.45022633134506e-02
2.86791049603166e+01	9.97989977325746e-01,-4.48105622119304e-02
2.88785839104500e+01	9.97961975582441e-01,-4.51209795389749e-02
2.90794503464063e+01	9.97933584552126e-01,-4.54335294864253e-02
2.92817139189126e+01	9.97904798845476e-01,-4.57482263335127e-02
2.94853843458221e+01	9.97875612999191e-01,-4.60650844472309e-02
2.96904714125811e+01	9.97846021474998e-01,-4.63841182827067e-02
2.98969849726989e+01	9.97816018658640e-01,-4.67053423835691e-02
3.01049349482215e+01	9.97785598858854e-01,-4.70287713823147e-02
3.03143313302081e+01	9.97754756306333e-01,-4.73544200006712e-02
3.05251841792113e+01	9.97723485152675e-01,-4.76823030499582e-02
3.07375036257604e+01	9.97691779469321e-01,-4.80124354314447e-02
