Freq.	V(vout)
2.00000000000000e+01	9.96097291117267e-01,-6.23808365313615e-02
2.01391110011344e+01	9.96043026691406e-01,-6.28113110273509e-02
2.02791895958006e+01	9.95988010792715e-01,-6.32447082620955e-02
2.04202425141439e+01	9.95932233099531e-01,-6.36810470769980e-02
2.05622765331213e+01	9.95875683150803e-01,-6.41203464137210e-02
2.07052984768276e+01	9.95818350344273e-01,-6.45626253142530e-02
2.08493152168224e+01	9.95760223934640e-01,-6.50079029209638e-02
2.09943336724614e+01	9.95701293031696e-01,-6.54561984766457e-02
2.11403608112276e+01	9.95641546598452e-01,-6.59075313245431e-02
2.12874036490672e+01	9.95580973449229e-01,-6.63619209083681e-02
2.14354692507259e+01	9.95519562247729e-01,-6.68193867723031e-02
2.15845647300886e+01	9.95457301505094e-01,-6.72799485609890e-02
2.17346972505212e+01	9.95394179577925e-01,-6.77436260194991e-02
2.18858740252148e+01	9.95330184666292e-01,-6.82104389932988e-02
2.20381023175322e+01	9.95265304811712e-01,-6.86804074281896e-02
2.21913894413569e+01	9.95199527895108e-01,-6.91535513702381e-02
2.23457427614444e+01	9.95132841634741e-01,-6.96298909656888e-02
2.25011696937762e+01	9.95065233584124e-01,-7.01094464608614e-02
2.26576777059160e+01	9.94996691129898e-01,-7.05922382020299e-02
2.28152743173685e+01	9.94927201489704e-01,-7.10782866352866e-02
2.29739670999407e+01	9.94856751710010e-01,-7.15676123063869e-02
2.31337636781058e+01	9.94785328663927e-01,-7.20602358605767e-02
2.32946717293691e+01	9.94712919048997e-01,-7.25561780424023e-02
2.34566989846376e+01	9.94639509384946e-01,-7.30554596954996e-02
2.36198532285906e+01	9.94565086011430e-01,-7.35581017623657e-02
2.37841423000545e+01	9.94489635085736e-01,-7.40641252841096e-02
2.39495740923786e+01	9.94413142580472e-01,-7.45735514001833e-02
2.41161565538152e+01	9.94335594281221e-01,-7.50864013480914e-02
2.42838976879010e+01	9.94256975784176e-01,-7.56026964630806e-02
2.44528055538414e+01	9.94177272493742e-01,-7.61224581778057e-02
2.46228882668984e+01	9.94096469620118e-01,-7.66457080219750e-02
2.47941539987798e+01	9.94014552176845e-01,-7.71724676219717e-02
2.49666109780323e+01	9.93931504978335e-01,-7.77027587004524e-02
2.51402674904366e+01	9.93847312637366e-01,-7.82366030759219e-02
2.53151318794057e+01	9.93761959562552e-01,-7.87740226622826e-02
2.54912125463853e+01	9.93675429955786e-01,-7.93150394683600e-02
2.56685179512581e+01	9.93587707809658e-01,-7.98596755974014e-02
2.58470566127499e+01	9.93498776904838e-01,-8.04079532465494e-02
2.60268371088387e+01	9.93408620807435e-01,-8.09598947062879e-02
2.62078680771673e+01	9.93317222866332e-01,-8.15155223598608e-02
2.63901582154580e+01	9.93224566210484e-01,-8.20748586826624e-02
2.65737162819303e+01	9.93130633746193e-01,-8.26379262415995e-02
2.67585510957223e+01	9.93035408154354e-01,-8.32047476944241e-02
2.69446715373139e+01	9.92938871887671e-01,-8.37753457890350e-02
2.71320865489535e+01	9.92841007167843e-01,-8.43497433627506e-02
2.73208051350880e+01	9.92741795982722e-01,-8.49279633415484e-02
2.75108363627950e+01	9.92641220083443e-01,-8.55100287392734e-02
2.77021893622186e+01	9.92539260981522e-01,-8.60959626568137e-02
2.78948733270082e+01	9.92435899945926e-01,-8.66857882812420e-02
2.80888975147600e+01	9.92331118000114e-01,-8.72795288849232e-02
2.82842712474620e+01	9.92224895919045e-01,-8.78772078245872e-02
2.84810039119415e+01	9.92117214226160e-01,-8.84788485403651e-02
2.86791049603166e+01	9.92008053190330e-01,-8.90844745547899e-02
2.88785839104500e+01	9.91897392822779e-01,-8.96941094717587e-02
2.90794503464063e+01	9.91785212873971e-01,-9.03077769754577e-02
2.92817139189126e+01	9.91671492830474e-01,-9.09255008292478e-02
2.94853843458221e+01	9.91556211911781e-01,-9.15473048745100e-02
2.96904714125811e+01	9.91439349067117e-01,-9.21732130294509e-02
2.98969849726989e+01	9.91320882972203e-01,-9.28032492878663e-02
3.01049349482215e+01	9.91200792025993e-01,-9.34374377178623e-02
3.03143313302081e+01	9.91079054347384e-01,-9.40758024605330e-02
3.05251841792113e+01	9.90955647771889e-01,-9.47183677285946e-02
3.07375036257604e+01	9.90830549848284e-01,-9.53651578049736e-02
3.09512998708479e+01	9.90703737835226e-01,-9.60161970413498e-02
3.11665831864201e+01	9.90575188697829e-01,-9.66715098566514e-02
3.13833639158702e+01	9.90444879104227e-01,-9.73311207355028e-02
3.16016524745352e+01	9.90312785422090e-01,-9.79950542266232e-02
3.18214593501969e+01	9.90178883715120e-01,-9.86633349411754e-02
3.20427951035850e+01	9.90043149739510e-01,-9.93359875510630e-02
3.22656703688852e+01	9.89905558940377e-01,-1.00013036787177e-01
3.24900958542496e+01	9.89766086448160e-01,-1.00694507437588e-01
3.27160823423114e+01	9.89624707074993e-01,-1.01380424345683e-01
3.29436406907031e+01	9.89481395311042e-01,-1.02070812408255e-01
3.31727818325778e+01	9.89336125320814e-01,-1.02765696573521e-01
3.34035167771350e+01	9.89188870939440e-01,-1.03465101839099e-01
3.36358566101488e+01	9.89039605668920e-01,-1.04169053249918e-01
3.38698124945013e+01	9.88888302674343e-01,-1.04877575896065e-01
3.41053956707185e+01	9.88734934780080e-01,-1.05590694910582e-01
3.43426174575103e+01	9.88579474465939e-01,-1.06308435467191e-01
3.45814892523148e+01	9.88421893863299e-01,-1.07030822777961e-01
3.48220225318452e+01	9.88262164751213e-01,-1.07757882090910e-01
3.50642288526416e+01	9.88100258552474e-01,-1.08489638687536e-01
3.53081198516264e+01	9.87936146329667e-01,-1.09226117880293e-01
3.55537072466630e+01	9.87769798781182e-01,-1.09967345009984e-01
3.58010028371191e+01	9.87601186237196e-01,-1.10713345443098e-01
3.60500185044334e+01	9.87430278655644e-01,-1.11464144569066e-01
3.63007662126867e+01	9.87257045618140e-01,-1.12219767797453e-01
3.65532580091762e+01	9.87081456325888e-01,-1.12980240555069e-01
3.68075060249952e+01	9.86903479595562e-01,-1.13745588283011e-01
