Freq.	V(vout)
2.00000000000000e+01	2.63581654553685e-01,-4.41407495035308e-01
2.01391110011344e+01	2.60892096567166e-01,-4.39959433038673e-01
2.02791895958006e+01	2.58220255115564e-01,-4.38499841471101e-01
2.04202425141439e+01	2.55566209916897e-01,-4.37028974247090e-01
2.05622765331213e+01	2.52930036233675e-01,-4.35547085067838e-01
2.07052984768276e+01	2.50311804907024e-01,-4.34054427335244e-01
2.08493152168224e+01	2.47711582392545e-01,-4.32551254067432e-01
2.09943336724614e+01	2.45129430797863e-01,-4.31037817815834e-01
2.11403608112276e+01	2.42565407921806e-01,-4.29514370583849e-01
2.12874036490672e+01	2.40019567295144e-01,-4.27981163747128e-01
2.14354692507259e+01	2.37491958222844e-01,-4.26438447975492e-01
2.15845647300886e+01	2.34982625827764e-01,-4.24886473156516e-01
2.17346972505212e+01	2.32491611095749e-01,-4.23325488320807e-01
2.18858740252148e+01	2.30018950922039e-01,-4.21755741568977e-01
2.20381023175322e+01	2.27564678158961e-01,-4.20177480000350e-01
2.21913894413569e+01	2.25128821664821e-01,-4.18590949643410e-01
2.23457427614444e+01	2.22711406353952e-01,-4.16996395387994e-01
2.25011696937762e+01	2.20312453247849e-01,-4.15394060919264e-01
2.26576777059160e+01	2.17931979527341e-01,-4.13784188653445e-01
2.28152743173685e+01	2.15569998585740e-01,-4.12167019675355e-01
2.29739670999407e+01	2.13226520082893e-01,-4.10542793677719e-01
2.31337636781058e+01	2.10901550000117e-01,-4.08911748902285e-01
2.32946717293691e+01	2.08595090695916e-01,-4.07274122082729e-01
2.34566989846376e+01	2.06307140962459e-01,-4.05630148389366e-01
2.36198532285906e+01	2.04037696082745e-01,-4.03980061375657e-01
2.37841423000545e+01	2.01786747888408e-01,-4.02324092926505e-01
2.39495740923786e+01	1.99554284818105e-01,-4.00662473208352e-01
2.41161565538152e+01	1.97340291976436e-01,-3.98995430621057e-01
2.42838976879010e+01	1.95144751193346e-01,-3.97323191751546e-01
2.44528055538414e+01	1.92967641083949e-01,-3.95645981329250e-01
2.46228882668984e+01	1.90808937108739e-01,-3.93964022183281e-01
2.47941539987798e+01	1.88668611634123e-01,-3.92277535201378e-01
2.49666109780323e+01	1.86546633993237e-01,-3.90586739290574e-01
2.51402674904366e+01	1.84442970546998e-01,-3.88891851339599e-01
2.53151318794057e+01	1.82357584745341e-01,-3.87193086182979e-01
2.54912125463853e+01	1.80290437188595e-01,-3.85490656566839e-01
2.56685179512581e+01	1.78241485688968e-01,-3.83784773116377e-01
2.58470566127499e+01	1.76210685332077e-01,-3.82075644304991e-01
2.60268371088387e+01	1.74197988538494e-01,-3.80363476425053e-01
2.62078680771673e+01	1.72203345125269e-01,-3.78648473560294e-01
2.63901582154580e+01	1.70226702367380e-01,-3.76930837559794e-01
2.65737162819303e+01	1.68268005059087e-01,-3.75210768013544e-01
2.67585510957223e+01	1.66327195575132e-01,-3.73488462229559e-01
2.69446715373139e+01	1.64404213931772e-01,-3.71764115212530e-01
2.71320865489535e+01	1.62498997847590e-01,-3.70037919643978e-01
2.73208051350880e+01	1.60611482804062e-01,-3.68310065863891e-01
2.75108363627950e+01	1.58741602105850e-01,-3.66580741853819e-01
2.77021893622186e+01	1.56889286940771e-01,-3.64850133221404e-01
2.78948733270082e+01	1.55054466439437e-01,-3.63118423186313e-01
2.80888975147600e+01	1.53237067734519e-01,-3.61385792567554e-01
2.82842712474620e+01	1.51437016019610e-01,-3.59652419772143e-01
2.84810039119415e+01	1.49654234607670e-01,-3.57918480785099e-01
2.86791049603166e+01	1.47888644989010e-01,-3.56184149160736e-01
2.88785839104500e+01	1.46140166888811e-01,-3.54449596015227e-01
2.90794503464063e+01	1.44408718324136e-01,-3.52714990020412e-01
2.92817139189126e+01	1.42694215660423e-01,-3.50980497398818e-01
2.94853843458221e+01	1.40996573667436e-01,-3.49246281919868e-01
2.96904714125811e+01	1.39315705574652e-01,-3.47512504897247e-01
2.98969849726989e+01	1.37651523126067e-01,-3.45779325187396e-01
3.01049349482215e+01	1.36003936634400e-01,-3.44046899189108e-01
3.03143313302081e+01	1.34372855034683e-01,-3.42315380844200e-01
3.05251841792113e+01	1.32758185937211e-01,-3.40584921639218e-01
3.07375036257604e+01	1.31159835679855e-01,-3.38855670608168e-01
3.09512998708479e+01	1.29577709379699e-01,-3.37127774336226e-01
3.11665831864201e+01	1.28011710984013e-01,-3.35401376964410e-01
3.13833639158702e+01	1.26461743320528e-01,-3.33676620195175e-01
3.16016524745352e+01	1.24927708147026e-01,-3.31953643298919e-01
3.18214593501969e+01	1.23409506200202e-01,-3.30232583121349e-01
3.20427951035850e+01	1.21907037243824e-01,-3.28513574091707e-01
3.22656703688852e+01	1.20420200116156e-01,-3.26796748231798e-01
3.24900958542496e+01	1.18948892776649e-01,-3.25082235165820e-01
3.27160823423114e+01	1.17493012351886e-01,-3.23370162130950e-01
