Freq.	V(vout)
2.00000000000000e+01	9.41006715513482e-01,-2.35736915793364e-01
2.01391110011344e+01	9.40232370402975e-01,-2.37181467806782e-01
2.02791895958006e+01	9.39448514586118e-01,-2.38632296971134e-01
2.04202425141439e+01	9.38655048477783e-01,-2.40089378490987e-01
2.05622765331213e+01	9.37851871905564e-01,-2.41552686300475e-01
2.07052984768276e+01	9.37038884119252e-01,-2.43022193041616e-01
2.08493152168224e+01	9.36215983800748e-01,-2.44497870042498e-01
2.09943336724614e+01	9.35383069074453e-01,-2.45979687295333e-01
2.11403608112276e+01	9.34540037518116e-01,-2.47467613434380e-01
2.12874036490672e+01	9.33686786174169e-01,-2.48961615713756e-01
2.14354692507259e+01	9.32823211561548e-01,-2.50461659985132e-01
2.15845647300886e+01	9.31949209688017e-01,-2.51967710675323e-01
2.17346972505212e+01	9.31064676062996e-01,-2.53479730763785e-01
2.18858740252148e+01	9.30169505710910e-01,-2.54997681760021e-01
2.20381023175322e+01	9.29263593185068e-01,-2.56521523680903e-01
2.21913894413569e+01	9.28346832582072e-01,-2.58051215027932e-01
2.23457427614444e+01	9.27419117556778e-01,-2.59586712764421e-01
2.25011696937762e+01	9.26480341337815e-01,-2.61127972292633e-01
2.26576777059160e+01	9.25530396743662e-01,-2.62674947430878e-01
2.28152743173685e+01	9.24569176199304e-01,-2.64227590390562e-01
2.29739670999407e+01	9.23596571753474e-01,-2.65785851753229e-01
2.31337636781058e+01	9.22612475096487e-01,-2.67349680447578e-01
2.32946717293691e+01	9.21616777578671e-01,-2.68919023726484e-01
2.34566989846376e+01	9.20609370229420e-01,-2.70493827144025e-01
2.36198532285906e+01	9.19590143776854e-01,-2.72074034532538e-01
2.37841423000545e+01	9.18558988668127e-01,-2.73659587979697e-01
2.39495740923786e+01	9.17515795090347e-01,-2.75250427805652e-01
2.41161565538152e+01	9.16460452992173e-01,-2.76846492540219e-01
2.42838976879010e+01	9.15392852106038e-01,-2.78447718900143e-01
2.44528055538414e+01	9.14312881971060e-01,-2.80054041766458e-01
2.46228882668984e+01	9.13220431956606e-01,-2.81665394161939e-01
2.47941539987798e+01	9.12115391286544e-01,-2.83281707228676e-01
2.49666109780323e+01	9.10997649064185e-01,-2.84902910205780e-01
2.51402674904366e+01	9.09867094297911e-01,-2.86528930407241e-01
2.53151318794057e+01	9.08723615927510e-01,-2.88159693199939e-01
2.54912125463853e+01	9.07567102851221e-01,-2.89795121981853e-01
2.56685179512581e+01	9.06397443953491e-01,-2.91435138160449e-01
2.58470566127499e+01	9.05214528133455e-01,-2.93079661131303e-01
2.60268371088387e+01	9.04018244334148e-01,-2.94728608256941e-01
2.62078680771673e+01	9.02808481572444e-01,-2.96381894845942e-01
2.63901582154580e+01	9.01585128969741e-01,-2.98039434132308e-01
2.65737162819303e+01	9.00348075783387e-01,-2.99701137255122e-01
2.67585510957223e+01	8.99097211438855e-01,-3.01366913238521e-01
2.69446715373139e+01	8.97832425562677e-01,-3.03036668971992e-01
2.71320865489535e+01	8.96553608016127e-01,-3.04710309191030e-01
2.73208051350880e+01	8.95260648929672e-01,-3.06387736458153e-01
2.75108363627950e+01	8.93953438738188e-01,-3.08068851144322e-01
2.77021893622186e+01	8.92631868216937e-01,-3.09753551410772e-01
2.78948733270082e+01	8.91295828518317e-01,-3.11441733191279e-01
2.80888975147600e+01	8.89945211209383e-01,-3.13133290174888e-01
2.82842712474620e+01	8.88579908310139e-01,-3.14828113789127e-01
2.84810039119415e+01	8.87199812332603e-01,-3.16526093183724e-01
2.86791049603166e+01	8.85804816320640e-01,-3.18227115214857e-01
2.88785839104500e+01	8.84394813890574e-01,-3.19931064429957e-01
