Freq.	V(vout)
2.00000000000000e+01	9.99223987175557e-01,-1.99803571025142e-02
2.01391110011344e+01	9.99218412278650e-01,-2.01192192261854e-02
2.02791895958006e+01	9.99212759622598e-01,-2.02590448549790e-02
2.04202425141439e+01	9.99207028123707e-01,-2.03998406411159e-02
2.05622765331213e+01	9.99201216683208e-01,-2.05416132820489e-02
2.07052984768276e+01	9.99195324187044e-01,-2.06843695207549e-02
2.08493152168224e+01	9.99189349505660e-01,-2.08281161460301e-02
2.09943336724614e+01	9.99183291493785e-01,-2.09728599927853e-02
2.11403608112276e+01	9.99177148990219e-01,-2.11186079423440e-02
2.12874036490672e+01	9.99170920817609e-01,-2.12653669227414e-02
2.14354692507259e+01	9.99164605782226e-01,-2.14131439090252e-02
2.15845647300886e+01	9.99158202673739e-01,-2.15619459235578e-02
2.17346972505212e+01	9.99151710264983e-01,-2.17117800363206e-02
2.18858740252148e+01	9.99145127311726e-01,-2.18626533652193e-02
2.20381023175322e+01	9.99138452552434e-01,-2.20145730763909e-02
2.21913894413569e+01	9.99131684708031e-01,-2.21675463845128e-02
2.23457427614444e+01	9.99124822481656e-01,-2.23215805531127e-02
2.25011696937762e+01	9.99117864558415e-01,-2.24766828948808e-02
2.26576777059160e+01	9.99110809605133e-01,-2.26328607719830e-02
2.28152743173685e+01	9.99103656270101e-01,-2.27901215963762e-02
2.29739670999407e+01	9.99096403182819e-01,-2.29484728301249e-02
2.31337636781058e+01	9.99089048953735e-01,-2.31079219857191e-02
2.32946717293691e+01	9.99081592173983e-01,-2.32684766263946e-02
2.34566989846376e+01	9.99074031415114e-01,-2.34301443664542e-02
2.36198532285906e+01	9.99066365228826e-01,-2.35929328715905e-02
2.37841423000545e+01	9.99058592146689e-01,-2.37568498592105e-02
2.39495740923786e+01	9.99050710679867e-01,-2.39219030987618e-02
2.41161565538152e+01	9.99042719318835e-01,-2.40881004120603e-02
2.42838976879010e+01	9.99034616533094e-01,-2.42554496736192e-02
2.44528055538414e+01	9.99026400770879e-01,-2.44239588109802e-02
2.46228882668984e+01	9.99018070458867e-01,-2.45936358050452e-02
2.47941539987798e+01	9.99009624001878e-01,-2.47644886904108e-02
2.49666109780323e+01	9.99001059782571e-01,-2.49365255557035e-02
2.51402674904366e+01	9.98992376161143e-01,-2.51097545439167e-02
2.53151318794057e+01	9.98983571475013e-01,-2.52841838527492e-02
2.54912125463853e+01	9.98974644038510e-01,-2.54598217349450e-02
2.56685179512581e+01	9.98965592142553e-01,-2.56366764986354e-02
2.58470566127499e+01	9.98956414054329e-01,-2.58147565076816e-02
2.60268371088387e+01	9.98947108016962e-01,-2.59940701820195e-02
2.62078680771673e+01	9.98937672249187e-01,-2.61746259980056e-02
2.63901582154580e+01	9.98928104945005e-01,-2.63564324887647e-02
2.65737162819303e+01	9.98918404273349e-01,-2.65394982445391e-02
2.67585510957223e+01	9.98908568377732e-01,-2.67238319130387e-02
2.69446715373139e+01	9.98898595375901e-01,-2.69094421997933e-02
2.71320865489535e+01	9.98888483359479e-01,-2.70963378685059e-02
2.73208051350880e+01	9.98878230393603e-01,-2.72845277414077e-02
2.75108363627950e+01	9.98867834516564e-01,-2.74740206996143e-02
2.77021893622186e+01	9.98857293739431e-01,-2.76648256834835e-02
2.78948733270082e+01	9.98846606045677e-01,-2.78569516929742e-02
2.80888975147600e+01	9.98835769390803e-01,-2.80504077880073e-02
2.82842712474620e+01	9.98824781701945e-01,-2.82452030888274e-02
2.84810039119415e+01	9.98813640877489e-01,-2.84413467763659e-02
2.86791049603166e+01	9.98802344786673e-01,-2.86388480926060e-02
2.88785839104500e+01	9.98790891269183e-01,-2.88377163409484e-02
2.90794503464063e+01	9.98779278134752e-01,-2.90379608865789e-02
2.92817139189126e+01	9.98767503162739e-01,-2.92395911568364e-02
2.94853843458221e+01	9.98755564101718e-01,-2.94426166415834e-02
2.96904714125811e+01	9.98743458669051e-01,-2.96470468935769e-02
2.98969849726989e+01	9.98731184550460e-01,-2.98528915288408e-02
3.01049349482215e+01	9.98718739399587e-01,-3.00601602270395e-02
3.03143313302081e+01	9.98706120837561e-01,-3.02688627318530e-02
3.05251841792113e+01	9.98693326452541e-01,-3.04790088513528e-02
3.07375036257604e+01	9.98680353799270e-01,-3.06906084583789e-02
3.09512998708479e+01	9.98667200398614e-01,-3.09036714909189e-02
3.11665831864201e+01	9.98653863737092e-01,-3.11182079524867e-02
3.13833639158702e+01	9.98640341266410e-01,-3.13342279125035e-02
3.16016524745352e+01	9.98626630402977e-01,-3.15517415066797e-02
3.18214593501969e+01	9.98612728527426e-01,-3.17707589373974e-02
3.20427951035850e+01	9.98598632984116e-01,-3.19912904740943e-02
3.22656703688852e+01	9.98584341080640e-01,-3.22133464536485e-02
3.24900958542496e+01	9.98569850087317e-01,-3.24369372807644e-02
3.27160823423114e+01	9.98555157236679e-01,-3.26620734283592e-02
3.29436406907031e+01	9.98540259722957e-01,-3.28887654379508e-02
3.31727818325778e+01	9.98525154701552e-01,-3.31170239200465e-02
3.34035167771350e+01	9.98509839288503e-01,-3.33468595545319e-02
3.36358566101488e+01	9.98494310559947e-01,-3.35782830910617e-02
3.38698124945013e+01	9.98478565551574e-01,-3.38113053494505e-02
3.41053956707185e+01	9.98462601258071e-01,-3.40459372200647e-02
3.43426174575103e+01	9.98446414632561e-01,-3.42821896642149e-02
3.45814892523148e+01	9.98430002586030e-01,-3.45200737145493e-02
3.48220225318452e+01	9.98413361986758e-01,-3.47596004754476e-02
3.50642288526416e+01	9.98396489659726e-01,-3.50007811234153e-02
3.53081198516264e+01	9.98379382386028e-01,-3.52436269074791e-02
3.55537072466630e+01	9.98362036902268e-01,-3.54881491495824e-02
3.58010028371191e+01	9.98344449899955e-01,-3.57343592449811e-02
3.60500185044334e+01	9.98326618024882e-01,-3.59822686626407e-02
3.63007662126867e+01	9.98308537876504e-01,-3.62318889456330e-02
3.65532580091762e+01	9.98290206007304e-01,-3.64832317115333e-02
3.68075060249952e+01	9.98271618922150e-01,-3.67363086528186e-02
3.70635224756151e+01	9.98252773077646e-01,-3.69911315372647e-02
3.73213196614725e+01	9.98233664881474e-01,-3.72477122083451e-02
3.75809099685607e+01	9.98214290691722e-01,-3.75060625856290e-02
3.78423058690241e+01	9.98194646816212e-01,-3.77661946651795e-02
3.81055199217578e+01	9.98174729511812e-01,-3.80281205199527e-02
3.83705647730108e+01	9.98154534983741e-01,-3.82918523001955e-02
3.86374531569941e+01	9.98134059384865e-01,-3.85574022338444e-02
3.89061978964917e+01	9.98113298814985e-01,-3.88247826269240e-02
3.91768119034774e+01	9.98092249320112e-01,-3.90940058639447e-02
3.94493081797347e+01	9.98070906891737e-01,-3.93650844083012e-02
3.97236998174817e+01	9.98049267466084e-01,-3.96380308026696e-02
