Freq.	V(vout)
2.00000000000000e+01	-9.99357802700157e-09,-2.50239625170142e-06
2.01391110011344e+01	-9.99366201128129e-09,-2.48511038421015e-06
2.02791895958006e+01	-9.99374477751991e-09,-2.46794391507457e-06
2.04202425141439e+01	-9.99382634162386e-09,-2.45089601952320e-06
2.05622765331213e+01	-9.99390671926852e-09,-2.43396587848148e-06
2.07052984768276e+01	-9.99398592590124e-09,-2.41715267853244e-06
2.08493152168224e+01	-9.99406397674436e-09,-2.40045561187759e-06
2.09943336724614e+01	-9.99414088679805e-09,-2.38387387629812e-06
2.11403608112276e+01	-9.99421667084327e-09,-2.36740667511636e-06
2.12874036490672e+01	-9.99429134344459e-09,-2.35105321715751e-06
2.14354692507259e+01	-9.99436491895293e-09,-2.33481271671161e-06
2.15845647300886e+01	-9.99443741150842e-09,-2.31868439349581e-06
2.17346972505212e+01	-9.99450883504304e-09,-2.30266747261686e-06
2.18858740252148e+01	-9.99457920328333e-09,-2.28676118453390e-06
2.20381023175322e+01	-9.99464852975300e-09,-2.27096476502146e-06
2.21913894413569e+01	-9.99471682777560e-09,-2.25527745513278e-06
2.23457427614444e+01	-9.99478411047697e-09,-2.23969850116332e-06
2.25011696937762e+01	-9.99485039078786e-09,-2.22422715461454e-06
2.26576777059160e+01	-9.99491568144637e-09,-2.20886267215798e-06
2.28152743173685e+01	-9.99497999500040e-09,-2.19360431559949e-06
2.29739670999407e+01	-9.99504334381007e-09,-2.17845135184380e-06
2.31337636781058e+01	-9.99510574005012e-09,-2.16340305285930e-06
2.32946717293691e+01	-9.99516719571216e-09,-2.14845869564304e-06
2.34566989846376e+01	-9.99522772260710e-09,-2.13361756218601e-06
2.36198532285906e+01	-9.99528733236733e-09,-2.11887893943863e-06
2.37841423000545e+01	-9.99534603644898e-09,-2.10424211927651e-06
2.39495740923786e+01	-9.99540384613415e-09,-2.08970639846639e-06
2.41161565538152e+01	-9.99546077253302e-09,-2.07527107863241e-06
2.42838976879010e+01	-9.99551682658604e-09,-2.06093546622250e-06
2.44528055538414e+01	-9.99557201906601e-09,-2.04669887247509e-06
2.46228882668984e+01	-9.99562636058013e-09,-2.03256061338603e-06
2.47941539987798e+01	-9.99567986157209e-09,-2.01852000967568e-06
2.49666109780323e+01	-9.99573253232404e-09,-2.00457638675631e-06
2.51402674904366e+01	-9.99578438295856e-09,-1.99072907469969e-06
2.53151318794057e+01	-9.99583542344062e-09,-1.97697740820488e-06
2.54912125463853e+01	-9.99588566357953e-09,-1.96332072656628e-06
2.56685179512581e+01	-9.99593511303072e-09,-1.94975837364189e-06
2.58470566127499e+01	-9.99598378129773e-09,-1.93628969782178e-06
2.60268371088387e+01	-9.99603167773396e-09,-1.92291405199678e-06
